,Trait,Sequence,Model,Log-likelihood,Corrected AIC,Pairwise Divergence Error,LOCO MSE,Z0,True Z0,Zeq
0,gc_content,segment_8938_9248,NeutralModel,104.33595521471076,-196.7364265584538,0.001235584524670978,0.004452411344803074,0.31688216420079823,0.31511254019292606,0.40755016281219303
1,gc_content,segment_8938_9248,NeutralModel (fixed u=1.34),100.93879976485061,-192.62759952970123,0.0020525505560821354,0.004435719899098465,0.29929661280808384,0.31511254019292606,0.5014028814614476
2,gc_content,segment_8938_9248,"NeutralModel (fixed u=1.34, Z_eq=0.44)",103.31955033085072,-199.91182793442871,0.0014434186001804474,0.004347804808086408,0.32033815453738057,0.31511254019292606,0.42954669930741074
3,gc_content,segment_8938_9248,"NeutralModel (fixed u=1.34, Z_eq=0.44, sigma_eq=0.2464/L)",101.7744303854651,-199.1959195944596,0.001572669334453629,0.004311154654593179,0.3200957924164587,0.31511254019292606,0.4296806757085517
4,gc_content,segment_8938_9248,OU,111.13965946951585,-213.0293189390317,0.0004980594372159716,428.30618253228835,-0.1099810530349133,0.31511254019292606,0.3746996091742006
5,gc_content,segment_8938_9248,OU (Z0=Zeq),108.89831264237458,-211.06935255747644,0.0005493833985773503,0.007960526393746375,0.3725763203424094,0.31511254019292606,0.3725763203424094
6,gc_content,segment_8938_9248,BM,98.43944487198651,-192.52594856750244,0.002143119957392345,0.007241899269422503,0.347891875895475,0.31511254019292606,0.347891875895475
7,longest_ORF,segment_8938_9248,NeutralModel,80.28240331005652,-148.6293227491453,0.00479644288036291,0.06396760908891155,0.1893328112807688,0.24758842443729903,0.2039458585450809
8,longest_ORF,segment_8938_9248,NeutralModel (fixed u=1.34),79.65864981081145,-150.0672996216229,0.005262315437322508,0.06519579388413405,0.18888957057770675,0.24758842443729903,0.21058681039610608
9,longest_ORF,segment_8938_9248,OU,82.24127263300487,-155.23254526600974,0.0034247382208329367,0.07346379846296383,0.19071248178193184,0.24758842443729903,0.1961145980258071
10,longest_ORF,segment_8938_9248,OU (Z0=Zeq),82.24056021168357,-157.75384769609443,0.0034255683713033534,0.05809087334065729,0.19594341790177858,0.24758842443729903,0.19594341790177858
11,longest_ORF,segment_8938_9248,BM,76.7256606200846,-149.0983800636986,0.007305630358338905,0.06748317342573133,0.19482536019072472,0.24758842443729903,0.19482536019072472
12,A_percent,segment_8938_9248,NeutralModel,110.15746340366366,-208.37944293635957,0.0007985907171022709,0.003954029443502475,0.3735297635654685,0.3665594855305466,0.2960980176686744
13,A_percent,segment_8938_9248,NeutralModel (fixed u=1.34),109.26274379462373,-209.27548758924746,0.0009355462970750179,0.0037667306341715306,0.3705364293890916,0.3665594855305466,0.2773355785249608
14,A_percent,segment_8938_9248,"NeutralModel (fixed u=1.34, Z_eq=0.28)",109.262743794448,-211.79821486162328,0.0009355458109636148,0.0037243238465949195,0.3705365106748333,0.3665594855305466,0.27733598963701095
15,A_percent,segment_8938_9248,"NeutralModel (fixed u=1.34, Z_eq=0.28, sigma_eq=0.2016/L)",107.25911823386915,-210.1652952912677,0.0011128763826242039,0.0038724905419248203,0.3744532281790492,0.3665594855305466,0.26910548294881437
