,Trait,Sequence,Model,Log-likelihood,Corrected AIC,LOCO MSE,Z0,True Z0,Zeq
0,gc_content,segment_8938_9248,NeutralModel,112.53404333953303,-213.1326028080983,0.0,0.3000562205327854,0.31511254019292606,0.9932243235455461
1,gc_content,segment_8938_9248,NeutralModel (fixed u=1.34),112.52774891290397,-215.80549782580795,0.0,0.29842353581089553,0.31511254019292606,0.8375416986400837
2,gc_content,segment_8938_9248,"NeutralModel (fixed u=1.34, Z_eq=0.44)",112.52774891336136,-218.32822509945,0.0,0.29842377268984477,0.31511254019292606,0.8375386962872537
3,gc_content,segment_8938_9248,"NeutralModel (fixed u=1.34, Z_eq=0.44, sigma_eq=0.2464/L)",112.50298203276847,-220.65302288906636,0.0,0.2986952047883128,0.31511254019292606,0.8362158865742001
4,gc_content,segment_8938_9248,OU,112.27351865007103,-215.29703730014205,0.0,0.3680834414194611,0.31511254019292606,0.4226347964751206
5,gc_content,segment_8938_9248,OU (Z0=Zeq),112.2371261750134,-217.74697962275408,0.0,0.36924540630844693,0.31511254019292606,0.36924540630844693
6,gc_content,segment_8938_9248,BM,112.27352077417456,-220.19410037187853,0.0,0.36911727567220004,0.31511254019292606,0.36911727567220004
7,longest_ORF,segment_8938_9248,NeutralModel,75.31543516156634,-138.69538645216494,0.0,0.46386618414651815,0.24758842443729903,-0.9436660553566026
8,longest_ORF,segment_8938_9248,NeutralModel (fixed u=1.34),75.30704182354268,-141.36408364708535,0.0,0.45408380499560846,0.24758842443729903,-1.502027925100258
9,longest_ORF,segment_8938_9248,OU,75.09278693913218,-140.93557387826436,0.0,0.6522923873039103,0.24758842443729903,-0.010488780539046217
10,longest_ORF,segment_8938_9248,OU (Z0=Zeq),74.39334968354751,-142.0594266398223,0.0,0.1972594235801516,0.24758842443729903,0.1972594235801516
11,longest_ORF,segment_8938_9248,BM,73.68686598529506,-143.02079079411953,0.0,0.19849791765329886,0.24758842443729903,0.19849791765329886
12,A_percent,segment_8938_9248,NeutralModel,118.22826842396259,-224.52105297695744,0.0,0.36446578362537896,0.3665594855305466,0.01488984647542062
13,A_percent,segment_8938_9248,NeutralModel (fixed u=1.34),118.16962165991606,-227.08924331983212,0.0,0.3655353979275836,0.3665594855305466,0.09165815432210807
14,A_percent,segment_8938_9248,OU,118.30498912147156,-227.35997824294313,0.0,0.3298580095597005,0.3665594855305466,0.43628637394930236
15,A_percent,segment_8938_9248,OU (Z0=Zeq),118.24024338527039,-229.75321404326806,0.0,0.32963884702964596,0.3665594855305466,0.32963884702964596
16,A_percent,segment_8938_9248,BM,118.30553041727555,-232.25811965808052,0.0,0.32968405042236154,0.3665594855305466,0.32968405042236154
17,longest_ORF_alan,segment_8938_9248,NeutralModel,-135.48900200554903,282.9134878820658,0.0,69.63515608422425,73.0,-93.33676807649013
18,longest_ORF_alan,segment_8938_9248,NeutralModel (fixed u=1.34),-134.12321185947587,277.49642371895175,0.0,50.537395803911075,73.0,-44.296193923963635
19,longest_ORF_alan,segment_8938_9248,OU,-190.1219247241191,389.4938494482382,0.0,38.751608906423286,73.0,0.9297075064047673
20,longest_ORF_alan,segment_8938_9248,OU (Z0=Zeq),-290.37631201632973,587.4798967599322,0.0,38.287802370129896,73.0,38.287802370129896
21,longest_ORF_alan,segment_8938_9248,BM,-136.09335624116096,276.53965365879253,0.0,38.86493021460892,73.0,38.86493021460892
