,Trait,Sequence,Model,Log-likelihood,Corrected AIC,Pairwise Divergence Error,LOCO MSE,Z0,True Z0,Zeq
0,gc_content,segment_8938_9248,NeutralModel,105.73380449539238,-199.532125119817,0.0019085413780357665,0.036851180033314675,0.30948401283843036,,0.39049797003717085
1,gc_content,segment_8938_9248,NeutralModel (fixed u=1.34),105.4465282297605,-201.643056459521,0.0018935121514131023,0.03624569403391357,0.3088699586929736,,0.3753893400321435
2,gc_content,segment_8938_9248,"NeutralModel (fixed u=1.34, Z_eq=0.44)",105.44652822968085,-204.16578373208898,0.0018935118861867866,0.036245647369184064,0.308869969555486,,0.37538893747245217
3,gc_content,segment_8938_9248,"NeutralModel (fixed u=1.34, Z_eq=0.44, sigma_eq=0.2464/L)",103.68340352010995,-203.01386586374932,0.0018752728997607345,0.03595968582385891,0.3341500205152442,,0.31698888932661246
4,gc_content,segment_8938_9248,OU,104.99092872647668,-200.73185745295336,0.001925687042084337,,0.3286006990952729,,-6.22732956882371
5,gc_content,segment_8938_9248,OU (Z0=Zeq),104.98426961035787,-203.24126649344302,0.001923730452940664,0.03091495074904999,0.32657306533145086,,0.32657306533145086
6,gc_content,segment_8938_9248,BM,104.98501074861663,-205.61708032076268,0.0019253045964236011,0.030922281057545853,0.3270001911025706,,0.3270001911025706
7,longest_ORF,segment_8938_9248,NeutralModel,95.13154753212439,-178.32761119328103,0.004755682983372717,0.04716612314850568,0.2308714613076643,,0.18872908138458427
8,longest_ORF,segment_8938_9248,NeutralModel (fixed u=1.34),94.82616840095051,-180.40233680190101,0.004756068491935245,0.04777505472932953,0.23108775366782414,,0.19669236562466272
9,longest_ORF,segment_8938_9248,OU,95.39792830144893,-181.54585660289786,0.004747925379191355,0.04571849739844218,0.22175077580002084,,0.19044594087585862
10,longest_ORF,segment_8938_9248,OU (Z0=Zeq),95.39823440451225,-184.06919608175178,0.004747648440684046,0.04397797595575001,0.22167796912382634,,0.22167796912382634
11,longest_ORF,segment_8938_9248,BM,95.39823900860958,-186.44353684074858,0.00474769482795057,0.04397592066702235,0.2217067127661251,,0.2217067127661251
12,A_percent,segment_8938_9248,NeutralModel,120.29325197747728,-228.65102008398682,0.0007000029091759227,0.009277521816014673,0.35852856146113765,,0.36754840853155685
13,A_percent,segment_8938_9248,NeutralModel (fixed u=1.34),120.14964919551407,-231.04929839102815,0.000749603614041874,0.00895341661895018,0.36165308275359004,,0.3585114780285013
14,A_percent,segment_8938_9248,"NeutralModel (fixed u=1.34, Z_eq=0.28)",120.26282836864637,-233.79838401002002,0.0007053095395366244,0.009086351473418765,0.36061151439647443,,0.36385136279949315
15,A_percent,segment_8938_9248,"NeutralModel (fixed u=1.34, Z_eq=0.28, sigma_eq=0.2016/L)",120.16464542200251,-235.97634966753444,0.0007158963046722885,0.008934828686179418,0.3626223116880693,,0.3586232272388159
16,A_percent,segment_8938_9248,OU,120.1588822761542,-231.0677645523084,0.0007148347025879226,0.009369557357915356,0.3622000490280563,,0.36039801152564144
17,A_percent,segment_8938_9248,OU (Z0=Zeq),120.15782799028138,-233.58838325329003,0.0007145107132993427,0.0088379706056205,0.3614399314683419,,0.3614399314683419
18,A_percent,segment_8938_9248,BM,119.5011956506296,-234.64945012478861,0.000766597396581144,0.008523866392813379,0.36115697159354687,,0.36115697159354687
19,longest_ORF_alan,segment_8938_9248,NeutralModel,-112.26619395699274,236.46787178495322,318.611510587285,4915.288895365314,45.97844942080013,,42.76061145496163
20,longest_ORF_alan,segment_8938_9248,NeutralModel (fixed u=1.34),-112.3225513499979,233.8951026999958,317.4191517035898,4738.3806324571015,50.18086986283473,,33.42456040953799
21,longest_ORF_alan,segment_8938_9248,OU,-112.43395439430802,234.11790878861603,324.8436370922239,4635.317592601724,45.7831192112775,,45.788880781922884
22,longest_ORF_alan,segment_8938_9248,OU (Z0=Zeq),-112.43336182494845,231.59399637716962,325.07187735610273,3964.4191586467896,45.77296101631313,,45.77296101631313
23,longest_ORF_alan,segment_8938_9248,BM,-112.43315151702798,229.21924421052654,325.07192118478434,4081.939085912357,45.76682652183509,,45.76682652183509
24,gc_content,segment_11196_11705,NeutralModel,125.75817560392768,-239.69816938967355,0.0010826177074360543,0.01224489443893611,0.3977543770257983,,0.43717609462900825
25,gc_content,segment_11196_11705,NeutralModel (fixed u=1.34),125.47924737390987,-241.78202415958444,0.0010868436059016638,0.011884927971202502,0.3975501263741295,,0.42893878996297946
26,gc_content,segment_11196_11705,"NeutralModel (fixed u=1.34, Z_eq=0.44)",125.47924737389224,-244.2727804620702,0.001086843533826032,0.01187936638929909,0.3975501443059434,,0.4289390491693328
27,gc_content,segment_11196_11705,"NeutralModel (fixed u=1.34, Z_eq=0.44, sigma_eq=0.2464/L)",124.69451403704211,-245.05569474075088,0.001075896911022585,0.012194027076656365,0.3882417339352842,,0.46299946455857965
28,gc_content,segment_11196_11705,OU,125.88329672947822,-242.59012287072113,0.0010574407895762568,,0.3918561925714127,,28.03290123338188
29,gc_content,segment_11196_11705,OU (Z0=Zeq),140.6743704643668,-274.6630266430193,0.0010676748181609763,,0.402345610484872,,0.402345610484872
30,gc_content,segment_11196_11705,BM,125.01113949988822,-245.6889456664431,0.0010686660297764047,0.012095833128274098,0.4035683125637505,,0.4035683125637505
31,longest_ORF,segment_11196_11705,NeutralModel,109.34888525045605,-206.8795886827303,0.002095486723508871,0.0396565028143282,0.10324440198754224,,0.2897888242586144
32,longest_ORF,segment_11196_11705,NeutralModel (fixed u=1.34),108.91841721715531,-208.6603638460753,0.00212284963631374,0.04020418658894496,0.10155713694158103,,0.255396165668183
33,longest_ORF,segment_11196_11705,OU,120.07554681388284,-230.97462303953037,0.0026127194735109877,,0.12491470968366464,,0.5027155020247496
34,longest_ORF,segment_11196_11705,OU (Z0=Zeq),121.15882786058597,-235.63194143545766,0.002428801082478833,,0.13221171636403387,,0.13221171636403387
35,longest_ORF,segment_11196_11705,BM,105.75425342848145,-207.17517352362955,0.002343443403177611,0.04713639046714613,0.13226027418808572,,0.13226027418808572
36,A_percent,segment_11196_11705,NeutralModel,140.51634975045684,-269.21451768273187,0.00032286109959013483,0.004985612496753367,0.29051530210188714,,0.3021654734609749
37,A_percent,segment_11196_11705,NeutralModel (fixed u=1.34),140.30375704324757,-271.43104349825984,0.0003228782500921262,0.004959994175751184,0.2903696786909817,,0.300282839004912
38,A_percent,segment_11196_11705,"NeutralModel (fixed u=1.34, Z_eq=0.28)",140.30375704646107,-273.92179980720783,0.00032287823222895175,0.004957076600697559,0.2903702795255434,,0.30028398835658665
39,A_percent,segment_11196_11705,"NeutralModel (fixed u=1.34, Z_eq=0.28, sigma_eq=0.2016/L)",138.3710408372895,-272.4087483412457,0.0003290700237090589,0.005029142960194964,0.2935701836935404,,0.28820631331650065
40,A_percent,segment_11196_11705,OU,138.9045577983875,-268.63264500853967,0.0003302690451300493,0.004686500931826619,0.2922719832687817,,0.29227160828996185
41,A_percent,segment_11196_11705,OU (Z0=Zeq),138.9045577201305,-271.1234011545467,0.00033027117960840945,0.004556079496095482,0.2922716353691452,,0.2922716353691452
42,A_percent,segment_11196_11705,BM,138.92372451512603,-273.51411569691874,0.00033060485885727894,0.004568878153195341,0.29227170819006526,,0.29227170819006526
43,longest_ORF_alan,segment_11196_11705,NeutralModel,-157.44064897333908,326.69947976486,878.043382281669,5690.942337213988,42.104150631498484,,33.942252377307355
44,longest_ORF_alan,segment_11196_11705,NeutralModel (fixed u=1.34),-158.7582806067792,326.6930318017937,1061.601158940114,6095.639053795447,46.88960738957002,,16.202249478304857
45,longest_ORF_alan,segment_11196_11705,OU,-150.39258175226573,309.96163409276676,493.57040155282414,207246.34420220176,-8.919315364897042,,43.88869597447501
46,longest_ORF_alan,segment_11196_11705,OU (Z0=Zeq),-150.4920888649077,307.66989201552974,494.256234438234,6034.152155489474,43.4825484563478,,43.4825484563478
47,longest_ORF_alan,segment_11196_11705,BM,-160.72569971119594,325.7847327557252,1276.645616435567,5812.151308132897,39.940168966134,,39.940168966134
48,gc_content,segment_320_722,NeutralModel,112.71569807113579,-213.55639614227158,0.0019237902403503842,0.01824100731143678,0.5462772263921016,,0.41684186241679844
49,gc_content,segment_320_722,NeutralModel (fixed u=1.34),112.05989415190425,-214.90766709168727,0.001945652482280424,0.01973980400222628,0.5482742742952772,,0.43701735168828965
50,gc_content,segment_320_722,"NeutralModel (fixed u=1.34, Z_eq=0.44)",112.05989415184598,-217.41390595075077,0.0019456524792342445,0.019763817769245906,0.5482741936216958,,0.4370176084234118
51,gc_content,segment_320_722,"NeutralModel (fixed u=1.34, Z_eq=0.44, sigma_eq=0.2464/L)",111.99802093316225,-219.65318472346735,0.0019334446339665506,0.019522432244485754,0.5475008192442393,,0.4402345997765511
52,gc_content,segment_320_722,OU,114.38921304433374,-219.56630487654627,0.0018629864977225805,0.01740734471229941,0.5414877529571177,,-103.95977772528498
53,gc_content,segment_320_722,OU (Z0=Zeq),113.28504272533894,-219.8642030977367,0.0019014831205044836,0.017745616437618246,0.530468214047699,,0.530468214047699
54,gc_content,segment_320_722,BM,113.28505519740628,-222.2272532519554,0.0019014928247857996,0.01776062888827846,0.5304255921946915,,0.5304255921946915
55,longest_ORF,segment_320_722,NeutralModel,78.66830282956664,-145.46160565913328,0.0048686594854453055,0.05180348472155337,0.1784932524032942,,0.29721628680995393
56,longest_ORF,segment_320_722,NeutralModel (fixed u=1.34),78.27944362781875,-147.34676604351628,0.005196898828633289,0.05151905485614583,0.1797409927409385,,0.33614014165192674
57,longest_ORF,segment_320_722,OU,79.1047133705502,-148.99730552897918,0.004035569920046965,0.06803645920989965,0.17538743996358824,,0.2433774589878287
58,longest_ORF,segment_320_722,OU (Z0=Zeq),78.5565239869783,-150.40716562101542,0.0040441308764429425,0.05393090001407333,0.2321461956237125,,0.2321461956237125
59,longest_ORF,segment_320_722,BM,75.95683666806883,-147.5708161932805,0.006270707761215575,0.05641550564375341,0.20539786902111495,,0.20539786902111495
60,A_percent,segment_320_722,NeutralModel,134.46242816247224,-257.04985632494447,0.0004885455928344737,0.004319515538357572,0.21920565145462148,,0.2580337651627993
61,A_percent,segment_320_722,NeutralModel (fixed u=1.34),134.10872060647264,-259.0053200008241,0.000491882263175977,0.0044211502840937,0.21892506782003826,,0.2512996312226358
62,A_percent,segment_320_722,"NeutralModel (fixed u=1.34, Z_eq=0.28)",134.10872060734783,-261.5115588617545,0.0004918821543151088,0.00442209999681299,0.2189249585369567,,0.25130060678248084
63,A_percent,segment_320_722,"NeutralModel (fixed u=1.34, Z_eq=0.28, sigma_eq=0.2016/L)",132.2847950698284,-260.2267329967996,0.0005149328379743758,0.004245234358730101,0.21966810223754807,,0.24978930303198196
64,A_percent,segment_320_722,OU,133.40711081796988,-257.60210042381857,0.0005112547298271593,0.003987862016579334,0.2237361509141852,,0.3426950469527008
65,A_percent,segment_320_722,OU (Z0=Zeq),133.29561506946794,-259.8853477859947,0.000511897203465626,0.0037874753682068433,0.22427432929269958,,0.22427432929269958
66,A_percent,segment_320_722,BM,133.38975020295362,-262.4366432630501,0.0005112501732314275,0.0037754857993377933,0.22414950750544307,,0.22414950750544307
67,longest_ORF_alan,segment_320_722,NeutralModel,-152.80431024511464,317.48362049022927,1083.803109997868,15582.331841533098,19.910111419130022,,58.75201829008861
68,longest_ORF_alan,segment_320_722,NeutralModel (fixed u=1.34),-153.15494402770167,315.52200926752454,1114.010787172094,17425.57216734926,22.57337446019395,,60.11506553773961
69,longest_ORF_alan,segment_320_722,OU,-151.99049599424436,313.1931132006099,972.4808454215375,19153.691918583234,12.170943430117676,,54.84261250493101
70,longest_ORF_alan,segment_320_722,OU (Z0=Zeq),-152.9279612963154,312.56180494557196,1038.0647979025684,12872.048331204334,37.07297646784274,,37.07297646784274
71,longest_ORF_alan,segment_320_722,BM,-154.02514883641186,312.3931548156809,1290.2666169147847,13342.85446203269,26.92005320219217,,26.92005320219217
72,gc_content,segment_10270_10563,NeutralModel,104.49325320637404,-197.11150641274807,0.0013807019073599877,0.02157932207160018,0.4747031016275621,,0.39028891746672834
73,gc_content,segment_10270_10563,NeutralModel (fixed u=1.34),104.38881774126054,-199.56551427039986,0.001360863204686217,0.02111617025299835,0.4746968243154884,,0.4098463311783956
74,gc_content,segment_10270_10563,"NeutralModel (fixed u=1.34, Z_eq=0.44)",104.38881774157144,-202.0717531302017,0.0013608623369427825,0.021545312969268805,0.47469665440083836,,0.4098469472295217
75,gc_content,segment_10270_10563,"NeutralModel (fixed u=1.34, Z_eq=0.44, sigma_eq=0.2464/L)",103.6515546580433,-202.96025217322943,0.001367898144583548,0.021179844228206873,0.48041805982445046,,0.3897743120118272
76,gc_content,segment_10270_10563,OU,104.39452419612184,-199.57692718012245,0.0014858838007019482,0.02111760714576455,0.4808926030330576,,-14.31943122905718
77,gc_content,segment_10270_10563,OU (Z0=Zeq),102.52687464414436,-198.34786693534753,0.0013882537000463081,0.024027514737145355,0.46126263040799353,,0.46126263040799353
78,gc_content,segment_10270_10563,BM,102.51892915366318,-200.6950011644692,0.0013950399406298056,0.022880195341510194,0.4619037967628741,,0.4619037967628741
79,longest_ORF,segment_10270_10563,NeutralModel,90.97848212809923,-170.08196425619846,0.002737373927911922,0.050862477877957016,0.2847010585417134,,0.33132365324349766
