,Trait,Sequence,Model,Corrected AIC,LOCO MSE,Z0,Zeq
0,gc_content,segment_8938_9248,NeutralModel,-196.73642655845123,0.004447845793975853,0.31688221539699857,0.4075502908450411
1,gc_content,segment_8938_9248,NeutralModel (fixed u=1.3),-197.2597142903575,0.005639871233431981,0.32053466854639734,0.4316171146876269
2,gc_content,segment_8938_9248,OU,-213.02931873266908,0.02303259204572527,-0.10995383587037694,0.37469878266229717
3,gc_content,segment_8938_9248,OU (Z0=Zeq),-211.06935687672166,0.007959255974360849,0.3725780674317304,0.3725780674317304
4,gc_content,segment_8938_9248,BM,-192.52594856720444,0.0072419017193090145,0.34789191339019715,0.34789191339019715
5,longest_ORF,segment_8938_9248,NeutralModel,-148.62932274906456,0.06308387790029732,0.18933294884471116,0.20394544995971348
6,longest_ORF,segment_8938_9248,NeutralModel (fixed u=1.3),-149.98572797118598,0.06508349812278036,0.18886311346104764,0.21121841919487855
7,longest_ORF,segment_8938_9248,OU,-155.23254533275104,0.07346816974374284,0.1907345420707818,0.19611573663476134
8,longest_ORF,segment_8938_9248,OU (Z0=Zeq),-157.75384770570273,0.05809181327271976,0.19594257897958528,0.19594257897958528
9,longest_ORF,segment_8938_9248,BM,-149.09838006362267,0.0674831664397731,0.19482564534162128,0.19482564534162128
10,A_percent,segment_8938_9248,NeutralModel,-208.37944293714727,0.003291510437635789,0.37352959344688696,0.2960986440320706
11,A_percent,segment_8938_9248,NeutralModel (fixed u=1.3),-209.15943564069238,0.0037101429415231754,0.37036580645023787,0.27557037477843754
12,A_percent,segment_8938_9248,OU,-219.98658643075268,116.94933881024369,0.7811203128572709,0.32455847511751723
13,A_percent,segment_8938_9248,OU (Z0=Zeq),-218.74456537864015,0.006742450978190077,0.3262169231236352,0.3262169231236352
14,A_percent,segment_8938_9248,BM,-203.70056797323272,0.0061572117660275314,0.3473143913339948,0.3473143913339948
15,longest_ORF_alan,segment_8938_9248,NeutralModel,1836.4725517032502,7687.799317949341,55.724146247204764,39.45221442364439
16,longest_ORF_alan,segment_8938_9248,NeutralModel (fixed u=1.3),5608.317570238465,8635.37703619188,89.5975977050774,59.201405766479745
17,longest_ORF_alan,segment_8938_9248,OU,,,,
18,longest_ORF_alan,segment_8938_9248,OU (Z0=Zeq),1204.4532953260464,4350.797543397843,-1.7181536956958328,-1.7181536956958328
19,longest_ORF_alan,segment_8938_9248,BM,4315.291215544614,4683.368669497764,24.90397171089779,24.90397171089779
20,gc_content,segment_11196_11705,NeutralModel,-238.15329298311315,0.0036719438482401296,0.3858163334573151,0.45972162265482275
21,gc_content,segment_11196_11705,NeutralModel (fixed u=1.3),-239.19255233203245,0.003776892666919116,0.38762141013770685,0.4830253410053347
22,gc_content,segment_11196_11705,OU,,,,
23,gc_content,segment_11196_11705,OU (Z0=Zeq),,,,
24,gc_content,segment_11196_11705,BM,-237.00221170013455,0.00410598424361499,0.4059691468741241,0.4059691468741241
25,longest_ORF,segment_11196_11705,NeutralModel,-72.20338637394471,0.05701463683122436,0.17658939081094457,0.12966032437589478
