,Trait,Sequence,Model,Corrected AIC,LOCO MSE,Z0,Zeq
0,gc_content,segment_8938_9248,NeutralModel,-213.13217789945227,0.00671869,0.300338091179245,0.9828088296987535
1,gc_content,segment_8938_9248,NeutralModel (fixed u=1.3),-215.8070994875756,0.00743947,0.29861722876417307,0.8516342201687549
2,gc_content,segment_8938_9248,OU,-215.78091979901475,0.00745946,0.3019717898796661,1.1506713362659295
3,gc_content,segment_8938_9248,OU (Z0=Zeq),-217.74524662969552,0.00729091,0.3692473375680675,0.3692473375680675
4,gc_content,segment_8938_9248,BM,-220.19410037185474,0.00727695,0.3691173253390774,0.3691173253390774
5,longest_ORF,segment_8938_9248,NeutralModel,-137.16548833138677,0.05750559,0.4587541110823797,-0.916254641512001
6,longest_ORF,segment_8938_9248,NeutralModel (fixed u=1.3),-139.5983340144843,0.05827547,0.4488817440366644,-1.5137759415534868
7,longest_ORF,segment_8938_9248,OU,-140.9355738799828,0.05542103,0.6522922332163941,-0.010494074991154982
8,longest_ORF,segment_8938_9248,OU (Z0=Zeq),-142.05942663902462,0.05623642,0.19725978677164344,0.19725978677164344
9,longest_ORF,segment_8938_9248,BM,-143.0207907941246,0.05893838,0.19849794726870382,0.19849794726870382
10,A_percent,segment_8938_9248,NeutralModel,-224.52105297689042,0.00701056,0.3644660551153718,0.014887090325972517
11,A_percent,segment_8938_9248,NeutralModel (fixed u=1.3),-227.10311231270714,0.00698876,0.3654100071471702,0.08469709950537688
12,A_percent,segment_8938_9248,OU,-227.361060294381,0.00673653,0.32968535867810983,0.7924006374710885
13,A_percent,segment_8938_9248,OU (Z0=Zeq),-229.56395878768882,0.00660877,0.3295751678877255,0.3295751678877255
14,A_percent,segment_8938_9248,BM,-232.2581196584907,0.0065672,0.3296840528135171,0.3296840528135171
15,longest_ORF_alan,segment_8938_9248,NeutralModel,282.79517589009885,4519.32949788,45.82536888832599,8.347681325897096
16,longest_ORF_alan,segment_8938_9248,NeutralModel (fixed u=1.3),280.4284858607498,4539.15161426,65.67696508785244,-145.08367929765677
17,longest_ORF_alan,segment_8938_9248,OU,464.74062671062575,4147.11607996,38.6183908065963,0.4529317894073653
18,longest_ORF_alan,segment_8938_9248,OU (Z0=Zeq),518.1209111969335,4126.23601687,48.86745752770118,48.86745752770118
19,longest_ORF_alan,segment_8938_9248,BM,276.53965363129623,4173.75675403,38.865710212940456,38.865710212940456
20,gc_content,segment_11196_11705,NeutralModel,-255.8516419981691,0.00460435,0.3726391366169472,0.8460936652725809
21,gc_content,segment_11196_11705,NeutralModel (fixed u=1.3),-258.38255872565026,0.00462979,0.3718722377324026,0.7478759880284906
22,gc_content,segment_11196_11705,OU,-258.1657155445258,0.00459578,0.4200380180877663,0.4978751091745039
23,gc_content,segment_11196_11705,OU (Z0=Zeq),-260.2841616445038,0.00420834,0.4201137497730331,0.4201137497730331
24,gc_content,segment_11196_11705,BM,-263.00885441512264,0.00419665,0.4200400406119546,0.4200400406119546
25,longest_ORF,segment_11196_11705,NeutralModel,-94.03774273905759,0.05835353,0.19734439803462064,-0.09253953772245148
26,longest_ORF,segment_11196_11705,NeutralModel (fixed u=1.3),-95.12725889375814,0.0586705,0.18033966005244,-0.1169997230683135
27,longest_ORF,segment_11196_11705,OU,-141.457275864414,0.05472216,-49.73823992742559,0.14212524500533397
28,longest_ORF,segment_11196_11705,OU (Z0=Zeq),-143.94803226575388,0.05468465,0.14212437414777457,0.14212437414777457
29,longest_ORF,segment_11196_11705,BM,-96.74047552241244,0.05678653,0.14226987605840488,0.14226987605840488
