,Trait,Sequence,Model,Corrected AIC,LOCO MSE,Z0,Zeq
0,gc_content,segment_8938_9248,NeutralModel,-197.34112027470263,0.035962861219020696,0.3244271216604987,0.342065553121057
1,gc_content,segment_8938_9248,NeutralModel (fixed u=1.3),-199.64486924998,0.0965232653068611,0.3233138844715225,0.3427720967651037
2,gc_content,segment_8938_9248,OU,,,,
3,gc_content,segment_8938_9248,OU (Z0=Zeq),-203.2427178343535,0.030896576527172256,0.3270110551417936,0.3270110551417936
4,gc_content,segment_8938_9248,BM,-205.61708032100577,0.03092226961212597,0.32700020918782485,0.32700020918782485
5,longest_ORF,segment_8938_9248,NeutralModel,-177.64030608763028,0.04777781438995537,0.22463130127709086,0.20694881615820207
6,longest_ORF,segment_8938_9248,NeutralModel (fixed u=1.3),-179.78014485838105,0.04798910592973982,0.2246333877417805,0.20972767461229036
7,longest_ORF,segment_8938_9248,OU,,,,
8,longest_ORF,segment_8938_9248,OU (Z0=Zeq),,,,
9,longest_ORF,segment_8938_9248,BM,-186.44353684076,0.043975817490525156,0.22170670539136586,0.22170670539136586
10,A_percent,segment_8938_9248,NeutralModel,-228.42286632423028,0.00912464304965159,0.3623455330219425,0.3580608147156671
11,A_percent,segment_8938_9248,NeutralModel (fixed u=1.3),-231.26138436406112,0.009012443318596457,0.36082624837490734,0.36332255438890965
12,A_percent,segment_8938_9248,OU,-230.95459369731174,0.009164573397273657,0.3635889407135557,0.35424969571391995
13,A_percent,segment_8938_9248,OU (Z0=Zeq),-233.58838376176928,0.008786757741545009,0.3614437775302503,0.3614437775302503
14,A_percent,segment_8938_9248,BM,-234.64945012584158,0.008523864542661389,0.3611569026618032,0.3611569026618032
15,longest_ORF_alan,segment_8938_9248,NeutralModel,237.0897735633433,4753.219969154577,44.392553734125755,48.12534855717616
16,longest_ORF_alan,segment_8938_9248,NeutralModel (fixed u=1.3),234.44857227465027,4777.943369943383,45.79902443940017,42.82085626173197
17,longest_ORF_alan,segment_8938_9248,OU,234.1162935446141,4141.656948371279,45.78330149187722,-4.699208064927147
18,longest_ORF_alan,segment_8938_9248,OU (Z0=Zeq),231.5950226195524,3972.540709252073,45.65960039166623,45.65960039166623
19,longest_ORF_alan,segment_8938_9248,BM,229.2192351980942,4081.7104473223903,45.76867437585889,45.76867437585889
20,gc_content,segment_11196_11705,NeutralModel,-238.5389725506692,0.012095406890715808,0.39200472041564705,0.46638633163966725
21,gc_content,segment_11196_11705,NeutralModel (fixed u=1.3),-240.65773423695873,0.012184491604012538,0.39197998080145413,0.4508505194568736
22,gc_content,segment_11196_11705,OU,,,,
23,gc_content,segment_11196_11705,OU (Z0=Zeq),,,,
24,gc_content,segment_11196_11705,BM,-245.68894566741528,0.012095832689577484,0.403568322407495,0.403568322407495
25,longest_ORF,segment_11196_11705,NeutralModel,-201.9039730075795,0.045318029856107805,0.09950624528218938,0.3153653651761199
26,longest_ORF,segment_11196_11705,NeutralModel (fixed u=1.3),-203.9442778300824,0.0454395715480434,0.09747936370336736,0.2793979997665438
27,longest_ORF,segment_11196_11705,OU,,,,
28,longest_ORF,segment_11196_11705,OU (Z0=Zeq),,,,
29,longest_ORF,segment_11196_11705,BM,-207.17517352353858,0.04713638745000574,0.1322601970261703,0.1322601970261703
30,A_percent,segment_11196_11705,NeutralModel,-266.0143113643191,0.005039549598948794,0.2928316389978463,0.2900154840093058
31,A_percent,segment_11196_11705,NeutralModel (fixed u=1.3),-260.5045525428357,0.005024809388446962,0.26514630965314673,0.3430418521830607
32,A_percent,segment_11196_11705,OU,,,,
33,A_percent,segment_11196_11705,OU (Z0=Zeq),,,,
34,A_percent,segment_11196_11705,BM,-273.51411569634433,0.004568877602398867,0.29227159265850977,0.29227159265850977
35,longest_ORF_alan,segment_11196_11705,NeutralModel,327.59941549508295,5832.578157814956,42.94623820521463,32.47733051378301
36,longest_ORF_alan,segment_11196_11705,NeutralModel (fixed u=1.3),326.77884462761716,6072.386510242628,43.22753818481026,26.083245912030005
37,longest_ORF_alan,segment_11196_11705,OU,,,,
38,longest_ORF_alan,segment_11196_11705,OU (Z0=Zeq),,,,
39,longest_ORF_alan,segment_11196_11705,BM,325.788478475512,5811.261252762737,39.51761332949891,39.51761332949891
40,gc_content,segment_320_722,NeutralModel,-213.5563961424849,0.018804154439748783,0.5462772259538021,0.41684220379303655
41,gc_content,segment_320_722,NeutralModel (fixed u=1.3),-215.066264009616,0.019857901239523135,0.5480293015059812,0.43521370058476483
42,gc_content,segment_320_722,OU,,,,
