,Trait,Sequence,Model,Corrected AIC,LOCO MSE,Z0,Zeq
0,gc_content,segment_8938_9248,NeutralModel,-174.4643618369974,0.035774718710199466,0.30364869253197174,0.6596915855045541
1,gc_content,segment_8938_9248,NeutralModel (fixed u=1.3),-176.96570340749957,0.03527760768279747,0.30442899796088574,0.5767086884193146
2,gc_content,segment_8938_9248,OU,-177.69322455903716,0.03466614247507815,0.33906588530920123,0.856411221314306
3,gc_content,segment_8938_9248,OU (Z0=Zeq),-180.22138049069784,0.030629731201154784,0.3390600681227297,0.3390600681227297
4,gc_content,segment_8938_9248,BM,-182.5902893203782,0.03065069083538647,0.33906636012216085,0.33906636012216085
5,longest_ORF,segment_8938_9248,NeutralModel,-154.5893321528606,0.04920559235532087,-0.07337576837658281,2.7822499197655306
6,longest_ORF,segment_8938_9248,NeutralModel (fixed u=1.3),-157.1014880836367,0.05013611415850989,-0.07945540696415473,2.199010322454939
7,longest_ORF,segment_8938_9248,OU,-155.97093015742126,0.04825990108030943,0.21154031697491044,0.8109823789403363
8,longest_ORF,segment_8938_9248,OU (Z0=Zeq),-158.49365743204103,0.04339256533883141,0.21154042602166542,0.21154042602166542
9,longest_ORF,segment_8938_9248,BM,-160.84861895594562,0.0433930635244628,0.2115361271510976,0.2115361271510976
10,A_percent,segment_8938_9248,NeutralModel,-211.21271861580115,0.008703482019236135,0.35627267861096,0.4392657854936344
11,A_percent,segment_8938_9248,NeutralModel (fixed u=1.3),-214.08859351727546,0.008591622686563162,0.4044431733597078,0.09217484452779241
12,A_percent,segment_8938_9248,OU,-214.2088529475572,0.00844976826129264,0.36451434196977756,0.732673065522905
13,A_percent,segment_8938_9248,OU (Z0=Zeq),-216.61451500387037,0.00827089883687149,0.36453136885494847,0.36453136885494847
14,A_percent,segment_8938_9248,BM,-219.105912414695,0.008258391952406338,0.3645148737757042,0.3645148737757042
15,longest_ORF_alan,segment_8938_9248,NeutralModel,260.97221449040427,4019.9840281540883,-51.166668454828184,842.2747192818917
16,longest_ORF_alan,segment_8938_9248,NeutralModel (fixed u=1.3),258.2834962754722,4031.286907544376,-51.59233490689514,649.9328919241963
17,longest_ORF_alan,segment_8938_9248,OU,406.3380317698403,3816.336674271845,37.758637530759025,0.8365526182811107
18,longest_ORF_alan,segment_8938_9248,OU (Z0=Zeq),409.96261216169233,3556.291315611886,43.76596245367621,43.76596245367621
19,longest_ORF_alan,segment_8938_9248,BM,255.27035934170064,3720.653127648118,38.04514014872924,38.04514014872924
20,gc_content,segment_11196_11705,NeutralModel,-217.94306036112397,0.012640816251902982,0.43848205365855963,0.11767185670623038
21,gc_content,segment_11196_11705,NeutralModel (fixed u=1.3),-220.39153228892764,0.012606589542242657,0.43919441948309906,0.1828854523443464
22,gc_content,segment_11196_11705,OU,-221.1096245511588,0.01201472660570514,0.406371000856319,0.0443728041356529
23,gc_content,segment_11196_11705,OU (Z0=Zeq),-223.60038085409522,0.011882828087148281,0.40637109649500125,0.40637109649500125
24,gc_content,segment_11196_11705,BM,-225.9510465963262,0.011883637703892776,0.4063726985035809,0.4063726985035809
25,longest_ORF,segment_11196_11705,NeutralModel,-173.02875225327728,0.050474308282534235,0.03302925845486828,1.2746426956926546
26,longest_ORF,segment_11196_11705,NeutralModel (fixed u=1.3),-175.4296691022319,0.05029268915768304,0.030929414222010287,1.017267467140547
27,longest_ORF,segment_11196_11705,OU,-175.90212640144586,0.04975701211398401,0.15750615369751447,0.4033212811271912
28,longest_ORF,segment_11196_11705,OU (Z0=Zeq),-178.39288270380004,0.04780779271605371,0.1575060243659911,0.1575060243659911
29,longest_ORF,segment_11196_11705,BM,-180.74511130877,0.04780878667025763,0.15751066178009557,0.15751066178009557
30,A_percent,segment_11196_11705,NeutralModel,-250.13723727104303,0.005203501240101401,0.24879583525704752,0.7049928728487191
31,A_percent,segment_11196_11705,NeutralModel (fixed u=1.3),-252.58398981673122,0.005112345892837334,0.2391699740509006,0.6707200144548952
32,A_percent,segment_11196_11705,OU,-252.69413337953443,0.0049500445368745915,0.29340664700076313,0.356479497136564
33,A_percent,segment_11196_11705,OU (Z0=Zeq),-255.3169050124138,0.0047233392264597876,0.2944780762112148,0.2944780762112148
34,A_percent,segment_11196_11705,BM,-257.66539458337826,0.004710307625068886,0.2944766897333665,0.2944766897333665
