,ailuropoda_melanoleuca,aotus_nancymaae,canis_familiaris,cavia_porcellus,cebus_capucinus,cercocebus_atys,chinchilla_lanigera,chlorocebus_sabaeus,colobus_angolensis_palliatus,dipodomys_ordii,equus_caballus,felis_catus,fukomys_damarensis,gorilla_gorilla,homo_sapiens,ictidomys_tridecemlineatus,jaculus_jaculus,loxodonta_africana,macaca_fascicularis,macaca_mulatta,macaca_nemestrina,mandrillus_leucophaeus,mustela_putorius_furo,myotis_lucifugus,nomascus_leucogenys,octodon_degus,otolemur_garnettii,pan_paniscus,pan_troglodytes,panthera_pardus,panthera_tigris_altaica,propithecus_coquereli,pteropus_vampyrus,rhinopithecus_bieti,rhinopithecus_roxellana,saimiri_boliviensis_boliviensis,sorex_araneus,sus_scrofa
gc_content,0.443965517241,0.441767068273,0.43829787234,0.453781512605,0.44578313253,0.483739837398,0.459915611814,0.473895582329,0.469879518072,0.455696202532,0.425196850394,0.448818897638,0.465587044534,0.497991967871,0.4859437751,0.53738317757,0.465437788018,0.467248908297,0.487804878049,0.429602888087,0.483739837398,0.491869918699,0.445887445887,0.439655172414,0.4859437751,0.454545454545,0.443298969072,0.493975903614,0.493975903614,0.4625,0.455696202532,0.505102040816,0.457627118644,0.477911646586,0.477911646586,0.433734939759,0.388429752066,0.493827160494
longest_ORF,0.237068965517,0.220883534137,0.23829787234,0.289915966387,0.208835341365,0.280487804878,0.329113924051,0.281124497992,0.281124497992,0.26582278481,0.220472440945,0.236220472441,0.331983805668,0.281124497992,0.281124497992,0.331775700935,0.331797235023,0.327510917031,0.280487804878,0.328519855596,0.280487804878,0.280487804878,0.238095238095,0.275862068966,0.281124497992,0.333333333333,0.329896907216,0.281124497992,0.281124497992,0.220833333333,0.2194092827,0.301020408163,0.21186440678,0.281124497992,0.281124497992,0.269076305221,0.148760330579,0.246913580247
A_percent,0.224137931034,0.248995983936,0.23829787234,0.231092436975,0.240963855422,0.215447154472,0.232067510549,0.21686746988,0.232931726908,0.2194092827,0.236220472441,0.224409448819,0.226720647773,0.208835341365,0.212851405622,0.196261682243,0.239631336406,0.227074235808,0.219512195122,0.241877256318,0.219512195122,0.211382113821,0.233766233766,0.215517241379,0.220883534137,0.21645021645,0.226804123711,0.212851405622,0.212851405622,0.216666666667,0.2194092827,0.188775510204,0.216101694915,0.224899598394,0.224899598394,0.236947791165,0.260330578512,0.201646090535
longest_ORF_alan,48.0,52.0,49.0,39.0,52.0,51.0,42.0,38.0,52.0,41.0,16.0,17.0,49.0,52.0,52.0,35.0,26.0,67.0,51.0,36.0,51.0,51.0,47.0,23.0,52.0,58.0,20.0,52.0,52.0,44.0,44.0,15.0,29.0,52.0,52.0,67.0,18.0,39.0
