"","segment","trait","BM_loglik","BM_aicc","BM_z0","OU_loglik","OU_aicc","OU_z0"
"1","segment_10270_10563","GC Content",117.052025700719,-229.761194258581,0.445243854529571,117.156192351322,-227.606502349704,0.446802969998052
"2","segment_10270_10563","Longest ORF",64.6788519869462,-125.014846831035,0.239975471498387,74.8935281926742,-143.081174032407,0.198908879214618
"3","segment_10270_10563","Percent of A",122.320980484961,-240.299103827064,0.255779459937394,123.334297942373,-239.962713531805,0.259193084481167
"4","segment_10270_10563","Longest ORF (Alan)",-152.442320754722,309.227498652301,64.8307009147613,-147.123614952826,300.953112258593,43.8960805395078
"5","segment_11196_11705","GC Content",120.66777251676,-237.002211700187,0.405969150112908,126.629819169158,-246.573924052601,0.42171380854132
"6","segment_11196_11705","Longest ORF",37.0441457966672,-69.7549582600011,0.162359497026491,77.2048601101521,-147.72400593459,0.141445683379324
"7","segment_11196_11705","Percent of A",132.446366929702,-260.559400526071,0.276056061000312,139.671687252066,-272.657660218418,0.271802812298061
"8","segment_11196_11705","Longest ORF (Alan)",-204.000881107128,412.33509554759,69.2234041580399,-167.546866232464,341.779446750642,57.0816375387078
"9","segment_11935_12275","GC Content",99.9009957694633,-195.449050362456,0.479073121913838,115.603261413309,-224.479250099345,0.482101420823776
"10","segment_11935_12275","Longest ORF",22.2655109437727,-40.1780807110747,0.193631387098368,72.2505064247409,-137.773740122209,0.196895169883792
"11","segment_11935_12275","Percent of A",83.8982065308722,-163.443471885274,0.252607685751479,112.850620784829,-218.973968842386,0.256327550311245
"12","segment_11935_12275","Longest ORF (Alan)",-202.235630131273,408.824201439016,50.9958184186222,-141.647599525113,290.022471777498,49.0127144007897
"13","segment_320_722","GC Content",110.500099506076,-216.657341869295,0.533302757693489,110.567086421459,-214.428290489977,0.493805232565128
"14","segment_320_722","Longest ORF",54.6913039557467,-105.039750768636,0.226049416541459,67.8847856739545,-129.063688994968,0.205362618846367
"15","segment_320_722","Percent of A",85.0299296816827,-165.717002220508,0.217699199473358,105.284063887198,-203.862245421455,0.241125465993827
"16","segment_320_722","Longest ORF (Alan)",-185.123043956733,374.588945056324,51.2384450176504,-167.496716668718,341.699315690378,54.5533690182718
"17","segment_7916_8695","GC Content",131.689128227178,-259.053932130031,0.430905714862643,139.754896283219,-272.843125899771,0.432014020402675
"18","segment_7916_8695","Longest ORF",101.529043585646,-198.733762846967,0.0996966372746982,102.678957873574,-198.691249080481,0.103091919129791
"19","segment_7916_8695","Percent of A",148.515793592772,-292.707262861219,0.276735220072007,154.445982389417,-302.225298112167,0.278199948957207
"20","segment_7916_8695","Longest ORF (Alan)",-178.665195549193,361.654715422711,59.9449564632505,-170.760920764705,348.188508196076,53.2107391090752
"21","segment_8938_9248","GC Content",98.4394448720702,-192.52594856767,0.34789206954176,108.898314892791,-211.069357058309,0.372578238213831
"22","segment_8938_9248","Longest ORF",76.7256606200873,-149.098380063704,0.194825310948613,82.2405602484027,-157.753847769533,0.195943864072156
"23","segment_8938_9248","Percent of A",104.026754574822,-203.700567973174,0.347314338780505,112.735920145639,-218.744567564005,0.326215676286649
"24","segment_8938_9248","Longest ORF (Alan)",-231.780087426483,467.913116029437,41.5429065403804,-137.032099325112,280.791471377498,38.5718740489276
