"","segment","trait","BM_loglik","BM_aic_c","BM_Zeq","OU_loglik","OU_aic_c","OU_Zeq"
"1","segment_10270_10563","GC Content",51.0258201906682,-97.7087832384792,0.476963383264343,83.3441506324591,-159.982418911977,0.464825550497529
"2","segment_10270_10563","Longest ORF",39.9175115026865,-75.4921658625159,0.250652912444291,66.1265544188096,-125.547226484678,0.272246202955459
"3","segment_10270_10563","Percent of A",89.8013240607272,-175.259790978597,0.213182162703131,108.519510249335,-210.333138145729,0.223507908604927
"4","segment_10270_10563","Longest ORF (Alan)",-190.006586240256,384.35602962337,40.767749193702,-166.144801692468,338.995485737877,43.2843813452143
"5","segment_11196_11705","GC Content",-10.4727937030668,25.278920739467,0.404535236500122,88.0840508714933,-169.482387457272,0.394717123052277
"6","segment_11196_11705","Longest ORF",-27.8960615528744,60.1254564390821,0.138514382324065,76.779582014962,-146.87344974421,0.155433775217245
"7","segment_11196_11705","Percent of A",-17.9686015481962,40.2705364297258,0.294441696383576,110.172208509302,-213.65870273289,0.297611421804825
"8","segment_11196_11705","Longest ORF (Alan)",-288.369581460616,581.072496254566,43.2613114297258,-161.129356958929,328.944428203573,45.4836220625992
"9","segment_11935_12275","GC Content",-10.1145664575073,24.5820740914852,0.472498596355213,77.3681285908652,-148.008984454458,0.45562119345623
"10","segment_11935_12275","Longest ORF",-68.6569972795334,141.666935735537,0.208570854309445,55.7141197382369,-104.700966749201,0.245458531890427
"11","segment_11935_12275","Percent of A",26.6661364924441,-48.9793318084176,0.250901987582774,112.152988204745,-217.578703682218,0.266544700459396
"12","segment_11935_12275","Longest ORF (Alan)",-246.874195357477,498.101331891426,37.6689949756431,-151.334809754179,309.396892235631,43.1444918859542
"13","segment_320_722","GC Content",-5.64874566894831,15.6403484807538,0.501253725119209,76.0555840855941,-145.405285818247,0.512170952319632
"14","segment_320_722","Longest ORF",11.2035006712684,-18.0641441996797,0.232506545714749,63.8148377120404,-120.92379307114,0.247314607206701
"15","segment_320_722","Percent of A",26.5518633995222,-48.7608696561873,0.239319294524881,100.864650985135,-195.02341961733,0.230532328064665
"16","segment_320_722","Longest ORF (Alan)",-289.597469349923,583.537795842703,46.7738371837138,-173.881445625264,354.46877360347,58.6844131178517
"17","segment_7916_8695","GC Content",76.0763759973104,-147.828427670297,0.437844351784786,104.57737039195,-202.488074117234,0.416987226111864
"18","segment_7916_8695","Longest ORF",67.4297553229879,-130.535186321652,0.137931086455864,93.5360883264933,-180.40550998632,0.121285281317647
"19","segment_7916_8695","Percent of A",67.6835546193178,-131.042784914311,0.287392959323728,123.928091135147,-241.189515603627,0.284475176036272
"20","segment_7916_8695","Longest ORF (Alan)",-199.294097741559,402.912519807443,81.4642590802979,-169.740619404458,346.147905475582,61.9254111294008
"21","segment_8938_9248","GC Content",-58.056767079381,120.466475335233,0.37846054141504,72.6292405784939,-138.531208429715,0.326968228930693
"22","segment_8938_9248","Longest ORF",-81.3780919245833,167.109125025637,0.200466175557952,57.6968386077588,-108.666404488245,0.18418401010727
"23","segment_8938_9248","Percent of A",3.23230317550625,-2.11166517454191,0.340178931787727,91.0183332095503,-175.309393691828,0.373470405257003
"24","segment_8938_9248","Longest ORF (Alan)",-259.014907842554,522.382756861578,36.1219690442939,-148.256150061778,303.23957285083,29.6601568653568
